job_clean,skills,count,importance
Digital Marketing Executive,machine learning,2,0.09523809523809523
Digital Marketing Executive,management,3,0.14285714285714285
Digital Marketing Executive,sap,1,0.047619047619047616
Digital Marketing Specialist,communication,2,0.2222222222222222
Digital Marketing Specialist,excel,5,0.5555555555555556
Digital Marketing Specialist,management,2,0.2222222222222222
HR,communication,20,0.40816326530612246
HR,management,20,0.40816326530612246
HR,recruitment,9,0.1836734693877551
Iam Business Analyst,excel,6,0.5
Iam Business Analyst,management,6,0.5
Implementationconversion Analyst Skills Omni Script,excel,5,0.5
Implementationconversion Analyst Skills Omni Script,recruitment,5,0.5
Inside Sales Executive,communication,4,1.0
Intern,communication,2,0.2222222222222222
Intern,excel,2,0.2222222222222222
Intern,machine learning,1,0.1111111111111111
Intern,management,1,0.1111111111111111
Intern,power bi,1,0.1111111111111111
Intern,python,1,0.1111111111111111
Intern,tableau,1,0.1111111111111111
It Business Analyst,communication,5,0.7142857142857143
It Business Analyst,management,2,0.2857142857142857
Java Development Team Lead,aws,18,0.20454545454545456
Java Development Team Lead,communication,10,0.11363636363636363
Java Development Team Lead,docker,3,0.03409090909090909
Java Development Team Lead,excel,4,0.045454545454545456
Java Development Team Lead,java,18,0.20454545454545456
Java Development Team Lead,javascript,1,0.011363636363636364
Java Development Team Lead,management,6,0.06818181818181818
Java Development Team Lead,python,2,0.022727272727272728
Java Development Team Lead,react,18,0.20454545454545456
Java Development Team Lead,spark,4,0.045454545454545456
Java Development Team Lead,sql,4,0.045454545454545456
Java Team Lead,aws,55,0.09892086330935251
Java Team Lead,communication,54,0.09712230215827339
Java Team Lead,docker,54,0.09712230215827339
Java Team Lead,excel,54,0.09712230215827339
Java Team Lead,gcp,33,0.05935251798561151
Java Team Lead,java,55,0.09892086330935251
Java Team Lead,javascript,33,0.05935251798561151
Java Team Lead,kubernetes,34,0.06115107913669065
Java Team Lead,machine learning,33,0.05935251798561151
Java Team Lead,management,21,0.03776978417266187
